sample_id,text_type,label,z_score,perplexity,prompt_text,generated_text,attack_percentage,z_score_old
0,human_baseline,0,0.1648245709150822,14.356785774230955,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine",".
It’s an experience that might humble some. But for Butler, it has only enhanced his confidence.
As it stands, 22-year-old Butler is not regarded as the best wide receiver in this year’s NFL Draft. He’s projected by some experts to go as late as the third round. But when wide receivers were measured Thursday, Butler gained some attention: He led all receivers in height (6-foot-5 3/8), arm length (35 1/4 inches) and wingspan (83 7/8 inches).
On Thursday, running back David Montgomery, who played with Butler at Iowa State, captured the general vibe surrounding Butler here.
Butler says he’s met with every NFL team on an informal basis. He had “nine or 10” formal meetings set up for Friday night, but didn’t divulge which teams he’d be sitting down with.
There is clear interest in Butler, who declared for the draft after his junior season in which he had ",0.1,1.2090396748854386
1,original_ai,1,3.347007442172223,16.980533599853516,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine",", with many calling it a training camp for him. It was his opportunity.
The Bears' rookie free agent, drafted out of Wisconsin in the third round this offseason, is in Indianapolis for the first day of training and the second round of the NFL Draft.
It has already started for Butler, a first-round talent from a year where he was one of the more impressive college wideouts. He's the only rookie receiver invited this year, and the Bears were in Indianapolis this morning for the first of the 17-round NFL Scouting Combine.
He'll spend time this afternoon at Lucas Oil Stadium with other wideouts before moving into Lucas Oil Stadium's locker room later for interviews.
He's been working on some new wrinkles to help his game, and has spent his off days at his home in Chicago. The only person in town to watch him is Butler's brother-in-law. The Bears have not seen much.
He has spent the last few weeks with some college and professional coaches in Indianapolis, including",0.1,3.4404768985328973
2,translated,1,1.7499868836181547,18.766338348388672,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine","With many calling it a training ground for him. It was his opportunity. The Bears' rookie free agent, drafted out of Wisconsin in the third round this offseason, is in Indianapolis for the first day of training and the second round of the NFL Draft. It has already started for Butler, a first-round talent from a year where he was one of the more impressive college wideouts. He's the only rookie receiver invited this year, and the Bears were in Indianapolis this morning for the first of the 17-round NFL Scouting Combine. He'll spend time this afternoon at Lucas Oil Stadium with other wideouts before moving into Lucas Oil Stadium's locker room later for interviews. He's been working on some new wrinkles to help his game, and has spent his off days at his home in Chicago. The only person in town to watch him is Butler's brother-in-law. The Bears have not seen much. He has spent the last few weeks with some college and professional coaches in Indianapolis, including",0.1,2.838880952799268
3,substituted,1,1.48546590723385,17.304527282714844,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine",", with many calling it a training camp for him. It was his opportunity. The Bears' quarterback, drafted out of the third round this offseason, is in Indianapolis for the first day of training and the second round of the NFL Draft. It has been a busy week for Butler, a first-round talent from a year where he was one of the more impressive college wideouts. He's the only rookie in the NFL this year, and will be in Indianapolis this morning for the first of the 17-round NFL Scouting Combine. He'll spend time this afternoon at Lucas Oil Stadium with other wideouts before moving into Lucas Oil Stadium's locker room later for interviews. He's been working on some new wrinkles to help his game, and has spent his off days at his home in Chicago. The only person in town to watch him is Butler's brother-in-law. The Bears have not seen much. He has spent the last few weeks with some college and professional coaches in Indianapolis, including",0.1,3.486417997997231
4,paraphrased,1,1.5711994356148722,17.623327255249023,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine",", with many calling it a training camp for him. The Bears' rookie free agent, who was drafted in the third round from Wisconsin, is currently in Indianapolis for the first day of training and the second round of the NFL Draft. Butler, a first-round pick from his time at Notre Dame and his impressive career as a wide receiver, has already arrived in Indianapolis. He's the only rookie receiver invited this year, and the Bears were in Indianapolis this morning for the first of the 17-round NFL Scouting Combine.
He'll spend time this afternoon at Lucas Oil Stadium with other wideouts before moving into Lucas Oil Stadium's locker room later for interviews.
He's been working on some new wrinkles to help his game, and has spent his off days at his home in Chicago. The only person in town to watch him is Butler's brother-in-law. The Bears have not seen much.
He has spent the last few weeks with some college and professional coaches in Indianapolis, including",0.1,3.3075212454537413
5,mixed_text,1,1.2772626855307574,21.93951416015625,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said.
INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine",", with many calling it a training camp for him. It was his opportunity. The Bears' rookie free agent, drafted out of Wisconsin in the third round this offseason, is in Indianapolis for the first day of training and the second round of . It’s an experience that might humble some. But for Butler, it has only enhanced his confidence. the NFL Draft. It has already started for Butler, a first-round talent from a year where he was one of the more impressive college wideouts. He's the only rookie receiver invited this year, and the Bears were in Indianapolis this morning for the first of the 17-round NFL Scouting Combine. He'll spend time this afternoon at Lucas Oil Stadium with other wideouts before moving into Lucas Oil Stadium's locker room later for interviews. He's been working on some new wrinkles to help his game, and has spent his off days at his home in Chicago. The only person in town to watch him is Butler's brother-in-law. The Bears have not seen",0.1,2.680173987851612
6,human_baseline,0,0.700678354174382,24.21428680419922,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality.
Using 8i’s technology and VR goggles, you’ll be able to walk around a"," person inside a virtual environment to see their entire being. The Wellington, New Zealand-based startup said its VR platform will allow you to view fully volumetric 3D video.
Previously, VR cameras could record a partial torso of a person, but the 8i Portal goes beyond that. It enables “complete freedom of movement,” and it gives you a sense of “presence,” or the feeling that you are there in the virtual space with the person. It creates a more “emotional connection with the person you are watching,” the company said in the video below.
8i’s platform will let you create, experience, and share immersive 3D video of real people — for virtual reality, augmented reality, and the web. I’m not sure how it can be used for games, but you can see how it could give you a unique perspective at a music concert or theatrical performance.
Linc Gasking, who previously ran countingdown.com (which DreamWorks acquired), and Eugene d’",0.1,0.6579571820910123
7,original_ai,1,3.6052416113464654,16.809804916381836,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality.
Using 8i’s technology and VR goggles, you’ll be able to walk around a"," room with friends. It is the first time a volumetric, multi-dimensional video of people in VR will be accessible. This will allow you to experience 3D in the real world.
The technology will enable 4,096 x 4,096 24/60 frames-per-second video of 2 to 6 participants. The 3D images and 4,096 x 4,096 videos, are being created using 3-D printing.
In 8i’s 8th prototype we will show the first 3-D images, with volumetric, 3D, video in real-time using the Oculus Rift VR headset, in virtual reality with a VR headset.
8i will demonstrate how it is able to create a virtual world of the people who will be in it.
We believe it can help in the development of the new immersive technology and in creating a new generation of immersive technologies and products, which will be used by a broad number of users, including the general",0.1,3.669078570885075
8,translated,1,2.454056108116648,17.56847381591797,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality.
Using 8i’s technology and VR goggles, you’ll be able to walk around a","room with friends. It is the first time a volumetric, multi-dimensional video of people in VR will be accessible. This will allow you to experience 3D in the real world. The technology will enable 4,096 x 4,096 24/60 frames-per-second video of 2 to 6 participants. The 3D images and 4,096 x 4,096 videos, are being created using 3-D printing. In the 8th prototype of 8i we will show the first images in 3D, with volumetric video, 3D, in real time using the headphones Oculus Rift VR, in virtual reality with VR headphones. 8i will demonstrate how it is able to create a virtual world of the people who will be in it. We believe it can help in the development of the new immersive technology and in creating a new generation of immersive technologies and products, which will be used by a broad number of users, including the general",0.1,2.938099388349868
9,substituted,1,1.3237682931647297,17.15999984741211,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality.
Using 8i’s technology and VR goggles, you’ll be able to walk around a","room with friends. It is the first time a volumetric, multi-dimensional video of people in VR will be accessible. This will allow you to experience 3D in the real world. The technology will enable 4,096 x 4,096 24/60 frames-per-second images, with up to 6 participants. The images, and 4,096 x 4,096 videos, are being created using 3-D printing. In 8i’s 8th prototype , we will create the first 3-D images, with volumetric, 3D, video in real-time using the Oculus Rift VR headset, in virtual reality with a VR headset. 8i will demonstrate how it is able to create a virtual world of the people who will be in VR We believe it can help in the development of the new immersive technology and in creating a new generation of immersive technologies and products, which will be used by a broad number of users, including the general",0.1,2.59237846091516
