sample_id,text_type,label,attack_percentage,snr
0,human_baseline,0,0.1,0.9207831960849182
1,original_ai,1,0.1,1.3760334504600766
2,translated,1,0.1,1.4414439997105477
3,substituted,1,0.1,1.2616132960753144
4,paraphrased,1,0.1,1.6123713417221048
5,mixed_text,1,0.1,1.1584580896876826
6,human_baseline,0,0.1,1.66372542019828
7,original_ai,1,0.1,1.7102991180557854
8,translated,1,0.1,1.4603391197842008
9,substituted,1,0.1,1.5435718956435882
10,paraphrased,1,0.1,1.0706859260845625
11,mixed_text,1,0.1,1.4099226780082836
12,human_baseline,0,0.1,1.013496416162586
13,original_ai,1,0.1,1.15350993691798
14,translated,1,0.1,1.1111508367322365
15,substituted,1,0.1,1.1013642128464125
16,paraphrased,1,0.1,1.0153755163452436
17,mixed_text,1,0.1,1.013466815700662
18,human_baseline,0,0.1,0.8545675657130186
19,original_ai,1,0.1,1.7393434701993138
20,translated,1,0.1,1.8143912802311213
21,substituted,1,0.1,1.6302714052020777
22,paraphrased,1,0.1,1.2349475369864502
23,mixed_text,1,0.1,1.6176328252940877
24,human_baseline,0,0.1,1.100829152851953
25,original_ai,1,0.1,1.819289054382465
26,translated,1,0.1,1.9094776506506972
27,substituted,1,0.1,1.520013790774274
28,paraphrased,1,0.1,1.731708378046186
29,mixed_text,1,0.1,1.2769893783877433
30,human_baseline,0,0.1,0.8324831114220285
31,original_ai,1,0.1,1.6219565616542553
32,translated,1,0.1,1.7845699440526646
33,substituted,1,0.1,1.3317908328557329
34,paraphrased,1,0.1,1.230962541190156
35,mixed_text,1,0.1,3.2496461010787154
36,human_baseline,0,0.1,0.9514676181195686
37,original_ai,1,0.1,1.5042990543873276
38,translated,1,0.1,1.3408689200266035
39,substituted,1,0.1,1.5032294980645866
40,paraphrased,1,0.1,0.5043692465047259
41,mixed_text,1,0.1,1.877360322733448
42,human_baseline,0,0.1,1.1021383215595566
43,original_ai,1,0.1,1.8366611918590297
44,translated,1,0.1,1.836524518603816
45,substituted,1,0.1,1.7359993250008254
46,paraphrased,1,0.1,1.6158823979046242
47,mixed_text,1,0.1,1.3073092021009596
48,human_baseline,0,0.1,0.7055828056724794
49,original_ai,1,0.1,1.3533438951269108
50,translated,1,0.1,1.3834903322356054
51,substituted,1,0.1,1.2779207642788566
52,paraphrased,1,0.1,1.3152882760751623
53,mixed_text,1,0.1,1.88605205301869
54,human_baseline,0,0.1,0.8142027035708588
55,original_ai,1,0.1,2.2109964955421364
56,translated,1,0.1,1.940029315647084
57,substituted,1,0.1,1.411081600708363
58,paraphrased,1,0.1,1.6086013932290313
59,mixed_text,1,0.1,1.441651536861326
60,human_baseline,0,0.1,0.8172155796436433
61,original_ai,1,0.1,2.68712241544884
62,translated,1,0.1,1.6329866699404672
63,substituted,1,0.1,1.569447197700274
64,paraphrased,1,0.1,1.6402923621309005
65,mixed_text,1,0.1,1.7875433055592629
66,human_baseline,0,0.1,1.0467702262239058
67,original_ai,1,0.1,1.7529704270418394
68,translated,1,0.1,1.6016966534360058
69,substituted,1,0.1,1.4370869212418405
70,paraphrased,1,0.1,1.5493557924994954
71,mixed_text,1,0.1,2.040525843915023
72,human_baseline,0,0.1,1.05573647590917
73,original_ai,1,0.1,1.9813412364807728
74,translated,1,0.1,1.8663931476710145
75,substituted,1,0.1,3.1110542268119303
76,paraphrased,1,0.1,1.6751335901931013
77,mixed_text,1,0.1,2.5007618216325485
78,human_baseline,0,0.1,0.9335246340656604
79,original_ai,1,0.1,2.1848430266331134
80,translated,1,0.1,1.856782438482708
81,substituted,1,0.1,1.590578450734768
82,paraphrased,1,0.1,2.0884646713286994
83,mixed_text,1,0.1,1.9155420148281663
84,human_baseline,0,0.1,0.8839247980440874
85,original_ai,1,0.1,2.047240115907227
86,translated,1,0.1,1.6933380352452083
87,substituted,1,0.1,1.4340124872342002
88,paraphrased,1,0.1,1.545068716846932
89,mixed_text,1,0.1,1.289895411391519
90,human_baseline,0,0.1,1.0038821371242594
91,original_ai,1,0.1,1.7835022278826624
92,translated,1,0.1,1.6468127102917895
93,substituted,1,0.1,1.2680647769158813
94,paraphrased,1,0.1,1.2610617489190972
95,mixed_text,1,0.1,2.259873068749116
96,human_baseline,0,0.1,0.7107685207686103
97,original_ai,1,0.1,1.8131765730951332
98,translated,1,0.1,1.5666041996501392
99,substituted,1,0.1,1.4148882850398286
100,paraphrased,1,0.1,1.6255192320309764
101,mixed_text,1,0.1,1.9068470862971831
102,human_baseline,0,0.1,1.022044920060437
103,original_ai,1,0.1,1.4912328290163783
104,translated,1,0.1,1.2133666498447164
105,substituted,1,0.1,2.3482767599050014
106,paraphrased,1,0.1,1.3136924412506994
107,mixed_text,1,0.1,1.5270003886112409
108,human_baseline,0,0.1,1.467626860822387
109,original_ai,1,0.1,1.5330193380752
110,translated,1,0.1,1.7562477113504424
111,substituted,1,0.1,1.466059024070718
112,paraphrased,1,0.1,1.0436304548387572
113,mixed_text,1,0.1,1.6232419176787265
114,human_baseline,0,0.1,0.9980994025942111
115,original_ai,1,0.1,1.5543953027310011
116,translated,1,0.1,1.3759733740373712
117,substituted,1,0.1,1.2790887721491906
118,paraphrased,1,0.1,1.2621291747504342
119,mixed_text,1,0.1,1.2760898800896023
120,human_baseline,0,0.1,1.2823540751441498
121,original_ai,1,0.1,1.8079932663713751
122,translated,1,0.1,1.7698747583711048
123,substituted,1,0.1,1.579963810577779
124,paraphrased,1,0.1,1.120271676237974
125,mixed_text,1,0.1,1.9531695109109384
126,human_baseline,0,0.1,0.9082443730842747
127,original_ai,1,0.1,2.461577738162842
128,translated,1,0.1,2.5203691577852787
129,substituted,1,0.1,2.366255950188733
130,paraphrased,1,0.1,2.20671203698578
131,mixed_text,1,0.1,1.7983792195192292
132,human_baseline,0,0.1,1.148279464408409
133,original_ai,1,0.1,1.418203909731157
134,translated,1,0.1,1.6016275887097822
135,substituted,1,0.1,1.608885872886527
136,paraphrased,1,0.1,1.3757738567181683
137,mixed_text,1,0.1,1.224636138366782
138,human_baseline,0,0.1,0.6408883527790565
139,original_ai,1,0.1,2.8079861635426866
140,translated,1,0.1,2.774651578354895
141,substituted,1,0.1,2.577961905633406
